Mes,Total,Impuesto ingresos brutos,Convenio multilateral,Impuesto de sellos,Impuesto inmobiliario,Otros ingresos
2020-01-20 00:00:00,"1,251,929,512","135,847,037","369,561,992","34,173,026","140,973","128,675,710"
2020-02-01 00:00:00,"1,142,552,417","91,342,423","431,307,809","33,043,813","17,101","93,701,043"
2020-03-01 00:00:00,"1,112,673,665","113,805,177","357,083,391","38,569,412","22,011","123,776,209"
2020-04-01 00:00:00,"1,049,026,764","89,959,877","316,086,794","19,628,833",0,"89,808,421"
2020-05-01 00:00:00,"900,337,204","114,837,221","269,308,730","26,818,322","1,656","46,524,900"
2020-06-01 00:00:00,"971,030,869","94,433,862","252,205,415","33,170,926","1,885","83,474,563"
2020-07-01 00:00:00,"1,221,349,195","131,832,552","353,566,402","34,941,073","14,478","157,907,215"
2020-08-01 00:00:00,"1,328,463,394","109,361,035","419,963,671","44,778,762","16,366","196,069,025"
2020-09-01 00:00:00,"1,238,006,485","119,671,251","407,064,440","31,794,263","20,472","123,928,457"
2020-10-01 00:00:00,"1,359,190,426","124,507,299","386,771,405","53,007,145",0,"219,611,102"
2020-11-01 00:00:00,"1,455,858,236","147,953,755","444,606,941","46,056,077","2,007,654","242,871,291"
2020-12-01 00:00:00,"1,536,048,963","157,289,457","449,391,630","39,434,785","646,049","299,488,775"
2021-01-21 00:00:00,"1,868,019,092","166,017,089","575,731,498","51,679,550","141,428","250,594,058"
2021-02-21 00:00:00,"1,647,030,784","137,596,563","520,958,827","55,577,458","129,147","204,652,646"
2021-03-21 00:00:00,"1,808,983,347","161,136,012","524,158,076","62,543,507","110,671","249,224,077"
2021-04-21 00:00:00,"1,998,914,471","188,864,571","616,438,065","67,052,879","69,543","303,234,352"
2021-05-21 00:00:00,"1,951,855,605","205,621,345","540,560,977","63,013,729","30,151","307,714,362"
2021-06-21 00:00:00,"2,223,852,894","226,439,204","598,194,706","61,384,511","62,200","278,487,133"
2021-07-21 00:00:00,"2,342,713,265","261,710,953","577,676,285","64,784,527","42,780","351,093,831"
2021-08-21 00:00:00,"2,506,435,562","324,048,884","644,283,758","103,034,464","8,795","346,155,397"
2021-09-21 00:00:00,"2,490,379,794","368,999,432","621,235,865","81,357,146","40,347","319,205,090"
2021-10-21 00:00:00,"2,423,886,440","328,897,844","609,310,384","86,621,925","49,858","317,001,019"
2021-11-21 00:00:00,"2,333,425,380","336,421,038","614,371,025","97,062,575","2,274,617","286,760,870"
2021-12-22 00:00:00,"2,404,225,387","372,793,625","605,287,543","83,867,522","628,353","328,253,993"
2022-01-22 00:00:00,"2,829,945,153","418,422,140","784,618,907","92,733,777","34,355","297,768,958"
2022-02-22 00:00:00,"2,360,299,262","334,596,479","600,079,857","85,583,698","55,974","230,163,135"
2022-03-22 00:00:00,"2,591,035,565","412,806,308","631,383,850","105,556,613","475,530","321,850,970"
2022-04-22 00:00:00,"2,960,248,011","440,637,624","853,377,955","123,584,903","42,974","462,841,550"
2022-05-22 00:00:00,"3,109,133,386","494,614,925","784,791,355","104,290,829","173,145","415,640,270"
2022-06-22 00:00:00,"3,694,668,696","506,629,430","926,120,934","118,536,298","103,703","528,043,335"
2022-07-22 00:00:00,"4,326,445,113","669,859,587","1,125,147,882","124,904,222","564,081","658,352,761"
2022-08-22 00:00:00,"4,712,722,321","707,472,937","964,544,858","151,663,467","241,425","1,002,969,024"
2022-09-22 00:00:00,"4,715,592,322","662,819,057","1,151,550,325","119,105,585","139,050","810,360,932"
2022-10-22 00:00:00,"4,736,091,655","646,665,226","1,099,518,242","143,744,319","114,854","898,921,273"
2022-11-22 00:00:00,"5,126,861,792","675,319,889","1,321,734,661","183,067,698","3,019,550","1,031,977,910"
2022-12-22 00:00:00,"5,374,135,389","811,998,993","1,187,378,054","153,180,406","263,587","1,231,281,743"
2023-01-23 00:00:00,"6,124,916,407","965,360,902","1,330,157,855","327,835,661","208,222","897,360,511"
2023-02-24 00:00:00,"4,994,213,549","851,650,371","1,265,205,555","186,828,248","46,025","721,489,158"
2023-03-23 00:00:00,"5,737,454,435","956,840,788","1,213,984,472","226,142,562","315,939","1,115,372,071"
2023-04-19 00:00:00,"7,005,788,888","1,054,348,828","1,697,850,045","274,827,784","208,774","1,540,531,119"
2023-05-16 00:00:00,"7,081,290,196","1,141,467,232","1,820,939,334","245,851,689","28,592","1,369,518,832"
2023-06-12 00:00:00,"8,035,289,204","1,115,846,165","1,989,355,833","234,511,676","73,567","1,517,529,546"
2023-07-09 00:00:00,"8,827,337,574","1,311,112,944","2,202,863,350","314,674,890","17,962","1,653,215,161"
2023-08-23 00:00:00,"9,176,947,693","1,530,400,681","2,249,288,196","349,992,463","28,299","1,297,590,346"
sep-23,"10,801,781,549","1,614,646,479","2,473,596,079","365,528,202","9,191","2,124,844,610"
2023-10-23 00:00:00,"11,669,771,881","1,618,598,636","3,093,237,483","353,721,777","192,078","2,150,185,519"
2023-11-23 00:00:00,"12,211,315,350","1,953,575,626","2,648,964,894","476,196,721","2,996,364","1,565,910,741"
2023-12-23 00:00:00,"15,600,520,985","2,257,026,544","2,656,054,518","455,518,845","608,610","2,097,392,332"
