Anio,Total ambos sexos,Antártida Argentina,Río Grande,Ushuaia
2010.0,131661.0,214.0,72491.0,58956.0
2011.0,135742.0,220.0,74777.0,60745.0
2012.0,139852.0,227.0,77079.0,62546.0
2013.0,143987.0,235.0,79395.0,64357.0
2014.0,148143.0,241.0,81723.0,66179.0
2015.0,152317.0,248.0,84061.0,68008.0
2016.0,156509.0,255.0,86410.0,69844.0
2017.0,160720.0,263.0,88768.0,71689.0
2018.0,164944.0,270.0,91133.0,73541.0
2019.0,169183.0,277.0,93507.0,75399.0
2020.0,173432.0,283.0,95889.0,77260.0
2021.0,177697.0,291.0,98277.0,79129.0
2022.0,181983.0,298.0,100678.0,81007.0
2023.0,186285.0,305.0,103088.0,82892.0
2024.0,190601.0,313.0,105505.0,84783.0
2025.0,194926.0,320.0,107928.0,86678.0
